sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,2224.2460812655363,7319.13818359375,175.81251525878906,10.735767091719051,2263.471717937918
2,1176.9093877618964,3486.41015625,225.64501953125,4.900632656829388,1066.7293159089102
3,852.5130212957209,2497.102783203125,237.91502380371094,3.395353190865806,690.5363188425114
4,718.0941508900036,1473.817626953125,253.37001037597656,1.8342214771610643,449.4456561067159
5,687.2207280939275,1424.0750732421875,272.3550109863281,1.7309302301656277,388.15180560882976
6,674.0893776633523,1213.380126953125,294.34503173828125,1.3812259428516576,335.80779339166014
7,666.2486877441406,1076.2301025390625,314.1300354003906,1.1453669062930059,300.56461580564763
8,661.7630004882812,973.8650512695312,332.2975158691406,0.9642175022481189,272.1968372957902
9,657.3377768776634,923.0850830078125,339.0875244140625,0.8776950768165727,251.18936999181489
10,654.9018637917259,887.945068359375,342.3700256347656,0.8199495391495043,234.4314832966869
11,653.152324329723,875.3275756835938,347.02001953125,0.7939980814242904,219.79823280072074
12,651.1189020330256,867.5325317382812,351.2925109863281,0.7758616761356504,206.70521448880154
13,649.9577719948509,865.6600341796875,357.2900390625,0.7640337452609272,195.81217786986542
14,648.8950528231534,864.0825805664062,361.84002685546875,0.7548247595783538,186.4507127574962
15,647.5516385165128,863.8325805664062,366.7550354003906,0.7470622227237315,178.45067612417765
16,646.955732865767,862.4525756835938,371.6850280761719,0.7375788717911723,171.70581076868137
17,647.3261801979759,858.4325561523438,376.6400146484375,0.7240902560332182,165.56087288707013
18,647.0986772017045,856.5950317382812,381.5600280761719,0.7139342928654464,160.3403425913915
19,646.2943586869674,849.9400634765625,386.7025146484375,0.6962037940399248,154.8436670332109
20,646.8520840731534,847.7500610351562,392.0500183105469,0.6848756096987765,150.68224381891164
21,647.487998268821,846.1275634765625,397.1075134277344,0.6748361898443136,147.13374199519725
22,647.1464150168679,839.830078125,402.4275207519531,0.6573761577321264,142.91011522798607
23,647.3736794211648,831.9525756835938,407.6300354003906,0.6377180847907314,139.05586387289503
24,647.2759538130326,821.2350463867188,414.2125244140625,0.6117177348293951,134.6823591623187
25,647.3070983886719,813.902587890625,419.0550231933594,0.5934198842582492,131.25776785229974
26,647.0557195490056,806.9075317382812,421.4225158691406,0.5793488271245729,128.4049708472899
27,647.1641346324574,800.6100463867188,428.1200256347656,0.5598185344550705,125.33630585976002
28,647.0568681196733,795.017578125,433.9825439453125,0.5426027341978105,122.00421022965958
29,647.3827708851207,794.81005859375,439.59002685546875,0.5338633157886163,120.11834731396812
30,647.5657209916549,792.37255859375,446.1950378417969,0.5202732463474512,116.75815572050507
31,648.0777754350142,788.74755859375,452.7575378417969,0.5049623628283493,113.89160156251748
32,646.9086886319247,778.9175415039062,459.3125305175781,0.4803371872719485,109.98348186093297
33,647.0798173384233,772.1250610351562,465.9525451660156,0.46014937199733125,107.02967696092314
34,646.9775446111506,769.9850463867188,472.23004150390625,0.44749862056347295,104.27128276608768
35,646.4457175514915,767.9150390625,478.8100280761719,0.4344984685153733,101.82182704704759
36,646.5525512695312,766.5625610351562,484.987548828125,0.4231815669979456,99.44661441086073
37,646.6468589089134,761.4725341796875,492.3725280761719,0.4044327703990731,97.31756306761405
38,646.5589044744319,759.2775268554688,498.0625305175781,0.39258231974204577,95.30404997657892
39,646.6586858575994,756.9800415039062,505.7950439453125,0.37750814619539064,92.9822167690398
40,646.5893582430753,755.2300415039062,511.1175231933594,0.3668788548129993,91.14158609258745
41,646.9861838600852,752.780029296875,515.74755859375,0.35623818887661324,88.74011613654821
42,646.7602761008523,749.3875732421875,517.612548828125,0.3483367265217891,87.11211573328929
43,646.6934481534091,747.3650512695312,520.6650390625,0.3407094459564025,84.92085775602817
44,646.3620882901279,748.4600830078125,522.2900390625,0.33991295198594884,82.88902685942624
45,646.3411809747869,746.4750366210938,524.8525390625,0.3330784044497757,81.13356092349531
46,646.536865234375,748.6800537109375,527.0000610351562,0.333164814368026,79.0152494450659
47,646.3079944957386,749.8225708007812,528.9650268554688,0.33192874892384044,77.1646500391191
48,645.4305031516335,750.3550415039062,530.0275268554688,0.3311321632231126,75.84812233728209
49,645.3852761008523,750.4425659179688,533.4150390625,0.32617258249058717,72.7202899369162
50,646.0507313121449,752.2350463867188,534.260009765625,0.32759660326650825,72.23773246859409
51,646.4127807617188,753.6825561523438,537.0175170898438,0.325627796392404,70.27458204198258
52,645.7798184481534,755.8250732421875,540.49755859375,0.32361761916465764,68.81728316166084
53,646.294355912642,757.0750732421875,541.7025146484375,0.32368531610698115,66.9706851858249
54,646.1616266424006,754.6725463867188,545.5175170898438,0.3143409365397608,64.43915827934896
55,646.2804953835227,756.8675537109375,548.4150390625,0.3132851210842821,63.549723556257334
56,646.6389215642756,759.6150512695312,552.1050415039062,0.31186862219084144,62.36912602695387
57,646.1466397372159,759.237548828125,555.4775390625,0.3062327141470002,60.89195684094294
58,647.3120949485085,755.9275512695312,558.9175415039062,0.296088079668086,59.487769432837375
