,sequence,time,relative_time,frame_id,weight,mass,x,y
4,0,1604015402.5350778,4.031914234161377,A,0.0,0.0,9.300000138580799,9.750000145286322
0,0,1604015398.5031636,0.0,D,0.0,0.0,5.4500000812113285,2.550000037997961
5,0,1604015403.208357,4.705193519592285,H,0.0,0.0,5.700000084936619,2.2500000335276127
2,0,1604015400.726685,2.2235214710235596,I,0.0,0.0,4.200000062584877,5.750000085681677
1,0,1604015399.4637182,0.9605545997619629,J,0.0,0.0,3.200000047683716,8.150000121444464
3,0,1604015401.967081,3.4639174938201904,K,0.0,0.0,8.700000129640102,7.700000114738941
6,0,1604015403.6995623,5.196398735046387,L,0.0,0.0,3.300000049173832,9.050000134855509
8,1,1604015412.035803,13.532639503479004,A,0.0,813.592529296875,8.752121662387639,9.614179923066207
15,1,1604015412.391674,13.888510465621948,D,0.0,864.2000732421875,5.269988724097116,2.970706116356771
10,1,1604015412.2487497,13.745586156845093,H,0.0,2393.53271484375,5.367101842747173,3.1230419835066643
13,1,1604015412.3397696,13.8366060256958,I,-0.01179987471550703,2526.07763671875,4.086035425993245,5.556808217153474
14,1,1604015412.3619428,13.858779191970825,J,0.0,1347.1776123046875,3.0298638715559196,7.86997962071516
11,1,1604015412.288214,13.785050392150879,K,0.27788180112838745,405.8575439453125,8.142823187315106,7.128407244194882
7,1,1604015411.9936054,13.490441799163818,L,0.0,7319.13818359375,3.951164557426108,7.828558852229684
9,2,1604015412.1685793,13.66541576385498,A,0.386922150850296,827.632568359375,8.446422284131554,9.619725623318633
22,2,1604015412.6344285,14.131264925003052,D,0.1070793867111206,413.03753662109375,4.686870735570967,2.871717059104955
16,2,1604015412.435091,13.93192744255066,H,0.1837940365076065,2314.355224609375,5.2499908262316115,3.535923419466604
19,2,1604015412.580463,14.077299356460571,I,0.12916013598442078,2012.1427001953125,3.9171698884480053,5.460159354742329
21,2,1604015412.6665604,14.163396835327148,J,0.04195515066385269,2215.855224609375,2.927666685636063,8.119563857698072
18,2,1604015412.476876,13.97371244430542,K,0.6896153092384338,499.9000244140625,7.7417745959397175,6.591799436365978
12,2,1604015412.3060622,13.802898645401001,L,-0.7539908289909363,6332.1552734375,3.994538197432921,7.050111586869903
17,3,1604015412.369882,13.866718530654907,A,0.7670081257820129,877.6675415039062,8.236968974608274,9.605211847843094
27,3,1604015412.9290633,14.425899744033813,D,0.36996710300445557,496.10504150390625,4.360941394563069,2.8981200685610116
24,3,1604015412.8094547,14.306291103363037,H,0.4011533260345459,941.1900634765625,5.415200939239275,3.778111855497712
26,3,1604015412.943057,14.4398934841156,I,0.2528037130832672,1718.4326171875,3.7647202863157343,5.399364988753142
30,3,1604015413.0323832,14.529219627380371,J,0.018962569534778595,1995.9351806640625,2.8439698031975897,8.296171641438692
25,3,1604015412.8557913,14.352627754211426,K,0.9581856727600098,617.1875610351562,7.519490694110421,6.185132976425782
20,3,1604015412.615373,14.11220932006836,L,-0.9370654821395874,2593.1376953125,3.6116168241570197,7.653283147178375
23,4,1604015412.6899555,14.186791896820068,A,1.109035611152649,865.6600341796875,7.972151039079374,9.800275984299322
33,4,1604015413.2235825,14.720418930053711,D,0.4972056448459625,545.3900146484375,4.176609728474827,2.9641423832656195
31,4,1604015413.1832597,14.68009614944458,H,0.3979274332523346,998.6375732421875,5.735549345020865,3.8527232662185775
34,4,1604015413.3068023,14.803638696670532,I,0.19256937503814697,1796.945068359375,3.6300401204509174,5.446918086485133
36,4,1604015413.3948934,14.891729831695557,J,-0.09145959466695786,1789.8551025390625,2.7472329512148654,8.390868225248699
32,4,1604015413.2339332,14.730769634246826,K,1.0791726112365723,717.5125732421875,7.332256070835582,5.94653675773988
28,4,1604015412.9851832,14.482019662857056,L,-0.8228290677070618,348.1100158691406,4.225019329745441,7.788039430728407
29,5,1604015412.9997668,14.49660325050354,A,1.1912357807159424,878.4375610351562,7.844175754902502,9.8752531854593
40,5,1604015413.523507,15.020343542098999,D,0.6044636964797974,544.7750244140625,4.056386096813154,3.022698537796776
38,5,1604015413.5562603,15.053096771240234,H,0.4023286700248718,911.695068359375,5.9324989406431445,3.860962803217893
41,5,1604015413.668854,15.165690422058105,I,0.08393696695566177,1716.212646484375,3.507872915447215,5.518696344266857
44,5,1604015413.7567956,15.253632068634033,J,-0.15554210543632507,1675.0750732421875,2.676690797667913,8.451126383850681
39,5,1604015413.6150384,15.11187481880188,K,1.116040587425232,716.0625610351562,7.214151829231872,5.7874743211278075
35,5,1604015413.3587987,14.855635166168213,L,-0.7218422889709473,615.1475219726562,4.494670178141272,7.917556406777876
37,6,1604015413.3715482,14.868384599685669,A,1.2180930376052856,863.8125610351562,7.812923620256658,9.911208462659733
46,6,1604015413.8868215,15.383657932281494,D,0.7102984189987183,623.1725463867188,4.008023301482076,3.1053977904591505
45,6,1604015413.9248514,15.421687841415405,H,0.4233873784542084,865.8175659179688,6.042521868591541,3.829598882488942
48,6,1604015414.0340707,15.530907154083252,I,-0.024129800498485565,1706.462646484375,3.414615225776342,5.594102420810373
50,6,1604015414.1181018,15.614938259124756,J,-0.21062219142913818,1598.8450927734375,2.6304178203527173,8.4957283982056
47,6,1604015413.9958165,15.492652893066406,K,1.1589728593826294,732.6725463867188,7.112789126554739,5.6903269984959
42,6,1604015413.7330775,15.22991394996643,L,-0.630027174949646,675.2000732421875,4.63839360737199,8.014234239827047
43,7,1604015413.7440732,15.240909576416016,A,1.2383254766464233,872.43505859375,7.794225354738612,9.920776782349357
53,7,1604015414.2484276,15.745264053344727,D,0.7930784821510315,708.0750732421875,3.9929248428256345,3.201549235796959
52,7,1604015414.2929065,15.789742946624756,H,0.4447198212146759,836.215087890625,6.103576906751939,3.78161646588719
55,7,1604015414.3990054,15.895841836929321,I,-0.12780322134494781,1673.1876220703125,3.3401977795383084,5.668297265666261
56,7,1604015414.478732,15.975568532943726,J,-0.25304725766181946,1533.8775634765625,2.597564348801818,8.531232678921448
54,7,1604015414.3760552,15.872891664505005,K,1.195326328277588,766.3400268554688,7.004965663416304,5.637804861946174
49,7,1604015414.1087654,15.605601787567139,L,-0.5574471354484558,740.2625732421875,4.706701018523318,8.107260880036108
51,8,1604015414.1187065,15.615542888641357,A,1.2132047414779663,850.1925659179688,7.815093001985588,9.931573593913129
60,8,1604015414.6091478,16.105984210968018,D,0.8607811331748962,790.6150512695312,3.9875824968699582,3.30633297448585
59,8,1604015414.655672,16.15250849723816,H,0.4757212996482849,793.8650512695312,6.15539789794675,3.7200162332189977
62,8,1604015414.7634563,16.260292768478394,I,-0.22360652685165405,1631.1451416015625,3.2764912408752154,5.743335052931009
63,8,1604015414.8394177,16.336254119873047,J,-0.29186227917671204,1490.817626953125,2.578261195758995,8.566982013364091
61,8,1604015414.7561567,16.25299310684204,K,1.2249176502227783,816.7000732421875,6.880024206881332,5.619790191578166
57,8,1604015414.4846582,15.981494665145874,L,-0.49342918395996094,778.1050415039062,4.731886217910663,8.1935165068093
58,9,1604015414.492507,15.989343404769897,A,1.2012648582458496,823.8575439453125,7.873095213825774,9.931716962020186
67,9,1604015414.9729555,16.469791889190674,D,0.9127611517906189,874.2525634765625,3.9823966866880154,3.4185537300570674
66,9,1604015415.017984,16.514820337295532,H,0.5160885453224182,753.74755859375,6.2262289246792815,3.644767462472539
68,9,1604015415.12697,16.623806476593018,I,-0.30954596400260925,1571.6351318359375,3.2136643559550935,5.819370321028365
70,9,1604015415.1995306,16.696367025375366,J,-0.32415637373924255,1440.9901123046875,2.5612865651771655,8.5963526279338
