,sequence,time,relative_time,frame_id,weight,mass,x,y
5,0,1604008115.3624718,4.023228645324707,A,0.0,0.0,3.450000051409006,9.100000135600567
0,0,1604008111.3392432,0.0,D,0.0,0.0,3.5500000528991222,7.000000104308128
3,0,1604008113.588161,2.248917818069458,H,0.0,0.0,6.200000092387199,8.50000012665987
2,0,1604008112.588595,1.2493517398834229,I,0.0,0.0,5.550000082701445,9.500000141561031
1,0,1604008111.8744938,0.5352506637573242,J,0.0,0.0,5.250000078231096,3.6000000536441803
4,0,1604008114.338594,2.9993507862091064,K,0.0,0.0,8.450000125914812,3.6500000543892384
6,0,1604008116.3398418,5.000598669052124,L,0.0,0.0,9.600000143051147,3.1500000469386578
8,1,1604008121.4548376,10.115594387054443,A,0.0,31.00250244140625,4.2590719125095475,8.208699017569543
12,1,1604008121.6061897,10.26694655418396,D,0.0,8.40000057220459,3.672656304726839,6.730625100294109
9,1,1604008121.4862673,10.147024154663086,H,0.0,25.750001907348633,6.496318057967724,7.927728273472178
10,1,1604008121.5104456,10.171202421188354,I,0.0,2.43500018119812,5.510600698130782,9.457700346269508
16,1,1604008121.740245,10.401001930236816,J,-0.0016000026371330023,13.592500686645508,4.848183813277221,3.8432362169155385
7,1,1604008121.4203196,10.081076383590698,K,0.0,54.01000213623047,7.269391193306622,4.993083531169976
11,1,1604008121.5897424,10.250499248504639,L,0.8732444047927856,4.890000343322754,9.324079893540837,3.398798619153216
14,2,1604008121.7249844,10.385741233825684,A,0.2549925744533539,13.055001258850098,3.9569919390585624,7.687732365704865
19,2,1604008121.9418225,10.602579355239868,D,0.35983332991600037,7.450000762939453,3.682561401350948,6.447284072582047
18,2,1604008121.745724,10.40648078918457,H,0.2865629494190216,13.030000686645508,7.109584642931878,8.010664849378923
15,2,1604008121.7394798,10.4002366065979,I,0.4446888864040375,3.3625001907348633,5.616508570139386,9.44580191628529
22,2,1604008122.0173306,10.67808747291565,J,0.09282221645116806,9.42750072479248,4.60338788183341,3.7885499845932795
13,2,1604008121.7111561,10.371912956237793,K,-0.03839999437332153,21.07750129699707,6.790317752559621,4.765898933786058
17,2,1604008121.7534428,10.414199590682983,L,1.7159554958343506,6.6075005531311035,9.11584251029956,3.6247776961935614
21,3,1604008121.9644382,10.625195026397705,A,0.36277034878730774,6.132500648498535,3.853771170730302,7.975602893421318
26,3,1604008122.2172878,10.878044605255127,D,0.5179444551467896,6.2950005531311035,3.7198947080176943,6.215222700408327
24,3,1604008122.040025,10.70078182220459,H,0.23098517954349518,13.722500801086426,7.5761715032692845,7.995503735741755
23,3,1604008122.031859,10.692615747451782,I,0.5947777628898621,4.600000381469727,5.5388929127159034,9.355088527167652
29,3,1604008122.2909563,10.95171308517456,J,0.1407555490732193,8.125000953674316,4.405586279959445,3.7212673272132166
20,3,1604008121.9549026,10.615659475326538,K,-0.05936295911669731,14.192501068115234,6.516261617873296,4.584512825399067
25,3,1604008122.1888187,10.849575519561768,L,1.858866572380066,9.015000343322754,8.956236628510098,3.9123195504918775
28,4,1604008122.2363243,10.897081136703491,A,0.3934370279312134,6.222500324249268,3.789792403000086,8.18089110340709
33,4,1604008122.4919937,11.152750492095947,D,0.5885444283485413,6.897500514984131,3.8018556830542725,6.101929988516316
31,4,1604008122.32323,10.983986854553223,H,0.128834068775177,13.295001029968262,7.862742638226154,7.968615033472365
30,4,1604008122.3013108,10.962067604064941,I,0.6839999556541443,4.562500476837158,5.532364305747812,9.275900496488255
36,4,1604008122.5642889,11.225045680999756,J,0.12062221765518188,7.625000476837158,4.294719400660044,3.6531418870383363
