sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,746.6800446410974,2672.18017578125,0.08750000596046448,3.2857458775180697,985.9180671228502
2,772.4317046668795,2558.570068359375,0.5075000524520874,3.1455284520807503,926.6112001870299
3,785.8908863398764,2423.360107421875,0.9275000691413879,2.9787507092601864,859.2353708419721
4,796.8664600451788,2277.165283203125,1.907500147819519,2.797776794472813,791.3428725858934
5,798.6066976123386,2110.1025390625,4.925000190734863,2.588637169099906,724.5925652190485
6,799.3178350660536,1942.215087890625,13.692501068115234,2.3714129366841714,664.92977958354
7,799.3494957817925,1776.045166015625,36.26750183105469,2.13932223972504,610.4360551911952
8,798.1333880954319,1625.8001708984375,71.17000579833984,1.9116551242223645,561.4272310272391
9,792.7153396606445,1481.4400634765625,113.47000885009766,1.6821280220952437,512.0309501243721
10,790.225331624349,1345.5426025390625,167.42501831054688,1.4486754260823866,467.9565630316985
11,794.3439415825737,1252.817626953125,228.8500213623047,1.25912449417792,432.98592018725554
12,792.7342393663195,1190.6151123046875,290.77752685546875,1.1064876842146711,398.5699717454897
13,791.5397881401909,1195.755126953125,353.4425354003906,1.035751922216901,370.1383025758031
14,790.977284749349,1224.9801025390625,374.2650146484375,1.0460840742239694,345.69945948025423
15,789.1553344726562,1240.3951416015625,382.2025146484375,1.0552788500531654,322.8651515210133
16,788.7611660427517,1235.43505859375,390.5500183105469,1.0389151406516104,300.4391885137542
17,787.7536688910591,1218.300048828125,402.9250183105469,1.0026280785253736,277.8664816440095
18,787.9550611707899,1196.132568359375,417.5450439453125,0.9573922236391929,256.60476872940285
19,788.0147772894966,1169.7625732421875,432.4850158691406,0.9065953126128782,237.28064176174414
20,782.5669996473524,1138.6600341796875,447.23504638671875,0.8502125782724088,217.78223612504092
21,787.5061611599392,1104.2950439453125,462.4350280761719,0.789264878499696,204.14620446619918
22,784.1483866373698,1072.1826171875,477.6150207519531,0.7311116289509316,191.01170538555309
23,788.2756178114149,1040.110107421875,494.8850402832031,0.6704374563470635,181.16827003811443
24,787.3286709255642,1010.0625610351562,511.0050354003906,0.6136674159413388,171.50147104064436
25,788.6394992404514,980.487548828125,528.5750122070312,0.5556954546012023,163.67933224396322
26,787.8306070963541,982.87255859375,547.9750366210938,0.5347728965088666,155.73721300700996
27,788.8133884006077,989.5475463867188,565.8275146484375,0.5210284658640948,147.53176403784047
28,788.5314398871528,994.1725463867188,588.6425170898438,0.4986610809018375,138.87796890235705
29,788.6053331163195,994.7325439453125,609.655029296875,0.4735115917766209,130.50849956772458
30,788.9675496419271,992.5025634765625,621.8525390625,0.45577078997348897,121.27676919956912
31,788.743665907118,985.757568359375,629.632568359375,0.43791005500646246,112.3855479550862
32,788.5170016818577,976.3325805664062,637.0625610351562,0.41718428336952834,103.11772063183238
33,789.9570041232639,968.4000854492188,645.2725219726562,0.39733466927659017,95.6838484321108
34,789.9547797309028,959.330078125,652.7425537109375,0.37699616617889015,89.99838273734801
35,788.7867228190104,949.9225463867188,659.780029296875,0.3567745191113428,86.82346308547176
36,790.1256171332466,942.1600952148438,666.820068359375,0.3385725975591693,85.49046196960562
37,790.6700642903646,934.8450927734375,672.2725219726562,0.3228730612076051,85.70289111266304
38,788.5358818901909,928.1925659179688,658.5225219726562,0.33160048796823294,87.13830369794631
39,790.7103339301216,920.4675903320312,648.612548828125,0.33428727603723335,88.43140183112486
40,790.9203355577257,914.6675415039062,641.8650512695312,0.3354523088927626,89.4760520501157
41,790.6717190212673,910.382568359375,637.0175170898438,0.33614406356836746,90.60814199915256
42,791.1036648220486,913.1975708007812,635.5025634765625,0.34146840556649666,90.495240122589
43,792.0645005967882,921.8575439453125,636.43505859375,0.35097051950967767,90.13649168686344
44,791.9097764756945,924.612548828125,640.1925659179688,0.3497377897118249,88.25290019242652
45,791.4814385308159,927.2525634765625,643.8775634765625,0.348452823692401,86.42310106708693
46,792.2125651041666,927.2100830078125,649.8875732421875,0.3410103629511971,83.63689472633314
47,792.4133911132812,925.8175659179688,657.0275268554688,0.330518387619652,80.53933754221784
48,792.1386786566841,922.3475952148438,664.4475708007812,0.3171274520949951,76.9813201012444
49,791.9770033094618,917.5325927734375,675.3400268554688,0.2978127339088634,72.58381566588196
50,792.6803385416666,911.24755859375,686.2425537109375,0.27667800369241635,67.90373898031702
51,792.0150553385416,905.300048828125,693.7875366210938,0.2600869241281463,64.18887524387473
