sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,2284.592661993844,7319.13818359375,29.42500114440918,6.971856294201967,3128.957267132888
2,1185.3889825003487,4985.72265625,110.9675064086914,4.66219884424798,1708.9552198018105
3,1070.0425872802734,3658.8427734375,154.67750549316406,3.351371455609587,1229.887769116045
4,1101.604721069336,3351.372802734375,243.21751403808594,2.972628890945387,1124.648065403095
5,1110.6854248046875,2787.26513671875,267.2250061035156,2.4101576024378053,943.639405681382
6,1101.3561444963727,2340.317626953125,260.07501220703125,1.9895367902817347,813.4999191705449
7,1090.9200744628906,2019.5850830078125,271.6075134277344,1.6717596585200647,722.5552909013096
8,1107.724378313337,1776.317626953125,273.6175231933594,1.437177144626057,652.6293495875492
9,1113.607221330915,1748.6226806640625,292.6300354003906,1.392506294024394,597.6696603314795
10,1108.7047249930245,1714.9801025390625,311.530029296875,1.3422547611734865,553.773585214477
11,1111.4214913504463,1652.2501220703125,334.02752685546875,1.260743498075444,515.4591103513775
12,1100.2040100097656,1584.607666015625,356.0500183105469,1.1749882546222024,486.5172727123519
13,1091.6504473005023,1586.5426025390625,377.6175231933594,1.1562117346327467,471.3765724852592
14,1081.689004080636,1686.5850830078125,399.5750427246094,1.230891919266802,464.84495765217974
15,1075.9557843889509,1735.797607421875,422.530029296875,1.2560045369913677,458.591462615827
16,1062.5250636509486,1757.590087890625,445.6750183105469,1.2547110025304264,450.36622479589727
17,1049.6375776018415,1754.6575927734375,468.9900207519531,1.2296079872977412,439.9833518321516
18,1036.1036551339287,1726.9876708984375,490.9775390625,1.182115784484456,424.2344048309769
19,1024.2115304129463,1688.2401123046875,513.81005859375,1.123220812278022,405.11203713058103
20,1013.1050589425223,1646.642578125,534.3475341796875,1.0637951053835815,384.83439258987227
21,1004.8461216517857,1584.465087890625,552.6475219726562,0.9868267257390596,358.99788681407546
22,1002.2615007672991,1552.172607421875,573.18505859375,0.9363002814260794,341.63131859075696
23,1000.4193638392857,1520.3651123046875,592.4425659179688,0.8874618909744902,327.1345518592578
24,1000.0325666155134,1480.462646484375,610.5875244140625,0.8319455365647039,308.43972436544215
25,1002.3732822963169,1465.64013671875,622.0450439453125,0.8068114080908497,297.7136897170995
26,1007.8182896205357,1436.0726318359375,626.81005859375,0.7739759060074424,287.7187277566001
27,1009.5264979771206,1408.5950927734375,625.8475341796875,0.7486170383619182,285.6944146716032
28,1008.886492047991,1387.7900390625,627.0650634765625,0.7275547166882396,288.0261555650627
29,1008.5465000697544,1385.837646484375,627.382568359375,0.7253837946637173,294.0286588159003
30,1007.4761526925223,1445.53759765625,615.0100708007812,0.7943136335673701,305.6563999300402
31,1005.4579293387277,1486.642578125,617.8850708007812,0.8308766537147166,311.3328507856698
32,1006.3665073939732,1521.232666015625,625.320068359375,0.8568476875143459,315.19865996777736
33,1004.9289986746652,1554.6375732421875,631.1200561523438,0.8832489362997437,319.4829783271588
34,1008.1572178431919,1592.70263671875,630.8675537109375,0.9198957228656218,328.12045868780154
35,1003.9254150390625,1603.517578125,637.0550537109375,0.9243213917070089,327.7665049032802
36,1000.5815080915179,1605.72509765625,644.3550415039062,0.9194509728009582,322.6657876897784
37,1000.6000714983259,1610.3126220703125,642.1675415039062,0.9259305825499776,323.55164088314433
38,997.6000627790179,1601.97509765625,651.8875732421875,0.9086603987488198,315.27552095284136
39,999.9968697684152,1606.4151611328125,662.6900634765625,0.9025753959609667,312.0180251349871
40,1000.0150582449777,1588.5750732421875,672.8275756835938,0.8758177166866812,301.9123720205105
41,1000.3907906668527,1568.3226318359375,684.5975341796875,0.8451916049691288,290.49581328714237
42,999.8993617466518,1547.5001220703125,695.382568359375,0.8149622600437432,279.37324131577344
43,995.1229160853794,1523.56005859375,706.217529296875,0.7817035478318661,269.16911339966924
44,993.9682878766741,1498.39013671875,702.7975463867188,0.7609019819711357,260.1397294614266
45,995.7875627790179,1472.2451171875,710.6725463867188,0.7283653537991442,249.72158459888536
46,998.1886247907366,1465.527587890625,720.842529296875,0.7122141959514711,244.57805835923827
47,1000.0443551199777,1441.41015625,722.1500244140625,0.6878978845672528,234.48354655918754
48,997.3665073939732,1415.6151123046875,734.7450561523438,0.6511817499141164,221.6769157952178
49,998.4239937918527,1393.9276123046875,745.24755859375,0.620395343712043,211.36723618293482
50,1001.643293108259,1388.587646484375,756.987548828125,0.6040601332388436,206.2739918847875
51,1001.6854422433036,1361.6976318359375,768.0550537109375,0.5677576937830127,194.69176336052095
52,997.0529261997768,1348.1175537109375,777.4475708007812,0.5457867837438679,187.69681276189377
53,996.5918579101562,1326.712646484375,770.3050537109375,0.5321462834997093,181.62622710137524
54,999.61328125,1307.2900390625,784.5425415039062,0.4999538856901434,171.94247817154937
55,997.7707955496652,1280.8701171875,787.2300415039062,0.4721156488037059,162.50619490363127
56,999.4850551060268,1271.0400390625,795.2450561523438,0.45504866423802437,157.24102834300925
57,999.777570452009,1253.7601318359375,799.392578125,0.4345555455936848,150.70826231997853
58,1002.4036429268973,1257.580078125,807.705078125,0.43025888287421743,148.98941984730604
59,1004.3768484933036,1247.7200927734375,816.6700439453125,0.412254765149577,143.80015494242463
60,1005.9775652204241,1235.592529296875,825.9825439453125,0.39174956312639697,137.37075003840704
61,1006.5879429408482,1225.695068359375,821.715087890625,0.3863650460684247,134.16519056833542
62,1004.0618373325893,1212.1025390625,830.2850341796875,0.3651689316203389,125.78323378263907
63,1006.1914934430804,1199.5225830078125,837.7225341796875,0.3460243063798308,118.42658934101573
64,1006.8743634905134,1187.4276123046875,844.2025756835938,0.32825922941051217,112.5196630823379
65,1006.979736328125,1176.567626953125,848.0775756835938,0.3141667407491479,107.54163011276492
66,1007.748291015625,1160.2701416015625,856.0475463867188,0.29095743031338467,99.79178406701475
67,1007.6715175083706,1159.24755859375,862.517578125,0.2837915196705145,96.16133087408693
68,1004.7332938058036,1143.8951416015625,870.6450805664062,0.2613354065158056,88.77816485135284
69,998.5264979771206,1135.455078125,877.6400756835938,0.24657337024429696,79.61286994504584
70,1004.9164951869419,1126.10009765625,876.3475341796875,0.23886248170357957,80.4166080099081
71,1007.2754342215402,1136.205078125,878.0650634765625,0.24688421078693157,81.94685689866564
72,1012.5050484793527,1124.99755859375,885.1150512695312,0.22942279438151628,77.62526870262228
73,1007.6604265485491,1121.800048828125,879.3150634765625,0.23191179530121536,76.74393681685966
74,1008.460431780134,1107.955078125,882.9075927734375,0.21523463104421248,74.24411345568201
75,1006.8336181640625,1111.4775390625,887.550048828125,0.21416347161560303,74.57092019565864
76,1002.1172223772321,1109.455078125,889.737548828125,0.21013707964024803,75.11792311985032
77,1010.0822317940848,1103.4476318359375,884.7550659179688,0.2091568082350906,71.99076990250187
78,1011.0907854352679,1097.0350341796875,881.43505859375,0.20619906561447962,73.79934543556743
79,1010.8082885742188,1115.9075927734375,895.9375610351562,0.21037857209562444,72.90154358327052
80,1015.8100673130581,1109.047607421875,893.7300415039062,0.20592896999179974,75.0203119010189
81,1016.0072108677456,1102.5125732421875,910.9125366210938,0.1832456075915553,70.92856892060978
82,1017.4265049525669,1095.8350830078125,908.6650390625,0.1790087780281819,74.69579789460632
83,1016.4307861328125,1091.0225830078125,912.8425903320312,0.17041072431057044,71.93344955463549
84,1014.8882795061384,1091.0350341796875,916.757568359375,0.16667836122033292,69.98792177286079
85,1017.5197056361607,1094.467529296875,919.2400512695312,0.16758694958579917,73.53202789184378
86,1016.5600673130581,1099.1375732421875,924.2800903320312,0.1672330875445877,71.9270617376488
87,1016.4532819475446,1102.6500244140625,929.1875610351562,0.16589889572440802,71.32941108766514
88,1015.9193551199777,1112.28759765625,926.7500610351562,0.17744745371008835,73.58725377287504
89,1017.1325770786831,1117.380126953125,931.330078125,0.17793761859957247,74.7326682732377
90,1017.2843366350446,1121.52001953125,937.12255859375,0.176357089297718,73.92954593830073
91,1017.3365042550223,1123.067626953125,942.5325927734375,0.17266307780119144,72.73018001080229
92,1016.0443551199777,1123.9400634765625,947.5325927734375,0.168715490470448,72.79619447985363
93,1010.5357927594866,1125.735107421875,942.1875610351562,0.17554423398200214,76.31123901236352
94,1009.5154244559152,1125.7825927734375,938.7625732421875,0.178865295201178,76.26309691321663
95,1008.8476039341518,1125.51513671875,936.2200927734375,0.18104112062580952,74.67645868246669
96,1008.7304338727679,1131.8775634765625,934.7625732421875,0.18852009001612552,75.75581816420274
97,1008.0143607003348,1132.8551025390625,936.56005859375,0.18773589624152393,75.33209064542224
98,1008.2714930943081,1132.777587890625,941.49755859375,0.18293955370140821,75.63985076961144
99,1007.9900599888393,1131.9825439453125,939.9275512695312,0.18368072597743296,74.42624490402615
100,1008.6222272600446,1130.4276123046875,937.132568359375,0.18486670669193203,74.74144747789502
101,1006.8993617466518,1128.6201171875,935.487548828125,0.18471131560752013,72.03753955091634
102,1007.1461530412946,1133.570068359375,927.9925537109375,0.1966136188867903,73.5887522053816
103,1005.4268537248884,1132.1475830078125,925.7350463867188,0.19741223099266528,73.4210014895326
104,1006.7697143554688,1141.4075927734375,927.0225830078125,0.20503707653622896,75.08381876705496
105,1010.6879534040179,1142.047607421875,926.902587890625,0.20576394722860197,73.64646062952374
106,1011.675798688616,1140.8326416015625,927.4100952148438,0.20411657991335472,72.27544670033836
107,1013.9122227260044,1148.1375732421875,927.7850952148438,0.2107443423942439,75.5157541744757
108,1015.1168736049107,1148.1776123046875,931.8950805664062,0.20685185994091773,74.09829055156641
109,1016.9565080915179,1147.297607421875,934.3550415039062,0.2036575282650395,73.56749821552036
110,1015.1943708147321,1145.2451171875,938.2700805664062,0.19795020403321376,69.01145346698692
111,1016.167218889509,1149.56005859375,925.5775756835938,0.21421606641915494,73.31091061621844
112,1015.4329136439732,1148.4625244140625,927.6975708007812,0.21113883260778843,73.09624516505873
113,1013.2336512974331,1156.5001220703125,927.652587890625,0.21886898450607753,76.57931635396848
114,1011.6482979910714,1156.142578125,925.4500732421875,0.22063350805964735,77.41189455039449
115,1010.0875592912946,1154.8350830078125,919.2425537109375,0.22531987434017178,78.0664996546475
116,1009.6882934570312,1151.7701416015625,920.6825561523438,0.22101136173710725,76.14151323536109
117,1010.4779401506696,1148.965087890625,919.0550537109375,0.21988515580489135,74.41494651878301
118,1008.5014997209821,1145.9700927734375,918.9600830078125,0.21711158255742818,73.90186256724782
119,1008.83935546875,1141.817626953125,922.5550537109375,0.20970196125437038,74.30287590614515
120,1011.128644670759,1147.3250732421875,925.215087890625,0.21242521627690375,73.69280221202035
121,1007.9322073800223,1144.8575439453125,912.070068359375,0.22263713074234984,76.7619442537178
122,1007.4532732282366,1143.0125732421875,910.5525512695312,0.22232395524728227,75.82496763335871
123,1007.2661394391741,1139.5426025390625,909.5925903320312,0.21992339065098065,74.84945820671247
124,1005.4254411969866,1135.47509765625,909.4700927734375,0.21615039938841002,74.5333739802846
125,1004.5536324637277,1131.7225341796875,900.6050415039062,0.22103996490441072,74.88459240373672
126,1003.3357892717634,1126.3875732421875,898.8900756835938,0.2175778141844747,73.39424061976831
127,1005.2161429268973,1122.3226318359375,900.1725463867188,0.21246356787061474,72.85986958785278
128,1005.2097080775669,1116.43505859375,899.5050659179688,0.2074710893261324,71.19562143644924
129,1005.6775687081473,1111.6650390625,900.6475830078125,0.20181635989785854,69.52833505004602
130,1005.2200666155134,1108.16259765625,888.3875732421875,0.21019206777004368,70.33408118538837
131,1004.5000697544643,1104.01513671875,878.487548828125,0.21569379944014938,71.65026999806031
132,1009.744367327009,1099.91259765625,879.3850708007812,0.2109117584836854,73.83779407837409
133,1013.8543788364956,1094.5626220703125,881.362548828125,0.20390380737290342,72.90353310142277
134,1016.1675589425223,1090.467529296875,882.6900634765625,0.19871764452410903,72.74196172022309
135,1016.4400721958706,1083.70263671875,880.2600708007812,0.1945717613579985,72.68872259429297
136,1018.9375610351562,1100.3775634765625,880.0350341796875,0.21073482746307967,74.60238174935324
137,1020.8861345563616,1111.1201171875,882.3125610351562,0.21883074965998822,75.10410158178496
138,1021.4061540876116,1121.35009765625,884.320068359375,0.22669469433268455,75.75097484531376
139,1021.4518519810268,1133.8875732421875,875.580078125,0.24704438852383098,80.76567420111454
140,1017.4014979771206,1143.3575439453125,862.955078125,0.2681759415371461,87.5992952681142
141,1017.3193708147321,1150.8076171875,863.0100708007812,0.2752485708303204,89.660584463716
142,1016.6200735909598,1156.0826416015625,862.1600341796875,0.2811065578678813,91.25969125776092
143,1016.637922014509,1162.4400634765625,862.0025634765625,0.2873373784351713,94.15291777022547
144,1014.9314923967634,1167.5850830078125,859.6075439453125,0.2945486455290512,97.46940610324059
145,1013.5068446568081,1170.467529296875,858.8650512695312,0.29801552452766394,99.3438963449849
146,1011.0061471121652,1175.6075439453125,853.5425415039062,0.30802184643138997,103.5222411902941
147,1010.988298688616,1178.6826171875,849.6500854492188,0.31468556717974633,106.31381116590656
148,1011.3689836774554,1182.3475341796875,842.1600341796875,0.32535413996726387,108.66880912369571
149,1010.46435546875,1184.4700927734375,836.967529296875,0.3323502411944487,110.86102690512169
150,1008.7711443219866,1183.7200927734375,830.445068359375,0.33787100272688286,112.62236044405172
151,1008.1414969308036,1188.8250732421875,825.2200317382812,0.34775059508731127,115.70966818076148
152,1008.0118582589286,1186.7275390625,822.7750854492188,0.3480828588185181,116.71872403495694
153,1008.4415108816964,1186.6826171875,821.4125366210938,0.34934303264657374,117.19935332157974
154,1008.7557896205357,1185.4326171875,821.4475708007812,0.3481140304334978,117.63013492788299
155,1006.8404279436384,1184.8875732421875,820.0725708007812,0.34890779751307444,119.2387831510314
156,1006.8900756835938,1183.757568359375,823.925048828125,0.3441425682141276,118.91652525247788
157,1004.695068359375,1182.3675537109375,813.2250366210938,0.3530466174480753,122.1310623557212
158,1005.1414969308036,1180.0001220703125,817.362548828125,0.34682531181194953,122.23346467213665
159,1005.6132899693081,1177.445068359375,819.5000610351562,0.34233735811441385,121.8563543519019
160,1003.4183000837054,1170.132568359375,826.1875610351562,0.328947806882985,120.21984548222815
161,1005.0604073660714,1167.4200439453125,830.2275390625,0.32248973707015954,118.79528502669174
162,1003.6514979771206,1163.24755859375,838.6900634765625,0.31040565774398526,118.55946346165409
163,1003.6486467633929,1159.005126953125,845.9700317382812,0.29938567461531085,116.84989782862384
164,1003.4875924246652,1155.1776123046875,852.4900512695312,0.2894893289711761,115.38739319878415
165,1002.4347098214286,1151.2725830078125,860.3750610351562,0.278213376682041,113.63058353413318
166,1003.0579136439732,1146.1500244140625,865.5825805664062,0.26833372594780175,111.6015661399817
167,1003.300066266741,1140.2725830078125,862.1250610351562,0.26601932109627546,108.8938174052365
168,1006.0582885742188,1135.862548828125,861.5225830078125,0.26237778765567915,105.25853204025266
169,1003.1672101702009,1129.6575927734375,849.0525512695312,0.26836968421526897,105.57120200768176
170,1005.1347220284598,1124.9075927734375,849.1875610351562,0.2636976778922071,102.45706034632641
171,1004.96435546875,1120.047607421875,846.1200561523438,0.2619833558159454,100.63272592407046
172,1003.4504307338169,1114.6900634765625,845.6925659179688,0.25726826962049587,97.76668002782532
173,1002.8722098214286,1109.0350341796875,846.7350463867188,0.25086279461122224,94.95358379797774
174,1002.6057913643973,1102.5850830078125,848.1275634765625,0.2433622852847124,91.9355522069783
175,1002.9247087751116,1096.842529296875,850.9000854492188,0.23521849656292865,88.78685383547338
176,1003.109357561384,1090.340087890625,854.580078125,0.2254800520770712,85.14131519816698
177,1002.4289899553571,1087.16259765625,858.2275390625,0.2189526925507983,81.86738693317746
178,1002.3922206333706,1084.7425537109375,862.5575561523438,0.21249695769040572,78.59337598371202
179,999.5525599888393,1082.5650634765625,857.0375366210938,0.21569374106633854,79.9051275213651
180,1000.4354160853794,1082.675048828125,861.3350830078125,0.2116887722795557,77.4822022129579
181,1001.9443620954241,1082.007568359375,867.2550659179688,0.20538854525119668,73.83847532487638
182,1003.6207798549107,1079.8775634765625,873.3800659179688,0.19749348733733146,70.63658615289147
183,1002.3843558175223,1078.1776123046875,879.527587890625,0.18998819135833409,66.7648113101005
184,1002.3693498883929,1076.2425537109375,886.2350463867188,0.1817225181195511,63.31906079667584
185,1002.2525634765625,1074.1075439453125,892.2600708007812,0.1739182898553271,60.31152592645109
186,1002.1972133091518,1071.830078125,898.4725341796875,0.1657985511436026,57.34281539627908
187,1002.1254185267857,1069.467529296875,903.4300537109375,0.15879766326393024,54.805274258502486
188,1004.9089965820312,1067.155029296875,909.1725463867188,0.1510938963281333,53.96311469008938
189,1006.0686471121652,1065.317626953125,915.6150512695312,0.14317502189945214,52.19429263134686
190,1008.8168596540179,1063.3551025390625,922.0825805664062,0.1351125478961454,49.65825829397964
191,1010.8411603655134,1070.6826171875,928.2100830078125,0.13626023539074433,49.17103483175887
192,1011.742919921875,1074.70751953125,933.2450561523438,0.13529420719542784,48.18078317283483
193,1010.8311505998884,1089.3226318359375,939.1575927734375,0.14361732026406107,49.90546647512884
194,1011.9618530273438,1094.675048828125,946.2450561523438,0.1419579279437842,49.432238750458254
195,1012.0518450055804,1098.717529296875,952.1150512695312,0.14021009930010989,49.01514715274826
196,1013.5643397739956,1100.7750244140625,955.487548828125,0.13895243554591966,48.99779666486241
197,1012.9579206194196,1102.030029296875,960.1300659179688,0.13571263067140998,49.03642107217377
198,1014.7418474469866,1103.155029296875,965.9600830078125,0.13121276871646634,48.410595726363674
199,1014.9097115652902,1101.62255859375,966.0125732421875,0.12969691759700422,47.32844383632165
200,1011.5407802036831,1102.3050537109375,962.3900756835938,0.13381419759581129,48.45640331040355
201,1014.772216796875,1114.005126953125,959.0725708007812,0.14817695700128788,52.10023468370467
202,1013.7222290039062,1102.7525634765625,954.66259765625,0.14163272744368702,48.65591448226881
203,1014.1368408203125,1102.2725830078125,951.6100463867188,0.1440931251960826,48.572551033407294
204,1012.9818638392857,1112.32763671875,948.4700927734375,0.1567127842365616,52.58121958275439
205,1013.3604213169643,1101.7950439453125,945.3325805664062,0.14964015494338728,50.42060386080765
206,1012.792218889509,1098.51513671875,944.2875366210938,0.14750273948627757,49.11368501295316
207,1013.0025809151786,1108.85009765625,941.8075561523438,0.15975890480675922,53.46856940961329
208,1011.8022199358259,1108.047607421875,935.1400756835938,0.16536816103640165,54.37463594783683
209,1013.5157906668527,1107.51513671875,931.8125610351562,0.16804133132924853,55.43571843409809
210,1013.3193446568081,1104.12255859375,933.3850708007812,0.16329273856638638,54.297123906841506
211,1012.652570452009,1103.017578125,931.1100463867188,0.164411764519871,54.500171149760455
212,1011.8211408342634,1098.9600830078125,929.9375610351562,0.1616525512298704,53.631189312152145
213,1012.5665021623884,1097.6051025390625,930.7925415039062,0.15953895228757664,52.9395177522708
214,1010.1822073800223,1093.485107421875,929.800048828125,0.15654781984717467,52.25604213266923
215,1010.3939993722098,1089.965087890625,931.5875854492188,0.15147169163178237,50.72041077743263
216,1013.0915004185268,1087.517578125,951.8700561523438,0.1297328174906606,45.10742957601652
217,1012.3475777762277,1083.1800537109375,954.1475830078125,0.1234062054998094,43.156118156535825
218,1009.055437360491,1079.3076171875,956.3450927734375,0.11760093001342199,45.04456775884732
219,1011.5168544224331,1076.1826171875,957.5450439453125,0.11346456177847568,40.58663775275359
220,1010.372576032366,1072.455078125,958.2950439453125,0.10918225901647084,39.33474532490331
221,1008.8025599888393,1084.4925537109375,947.6650390625,0.13086135837530946,47.411691250847085
222,1010.2933088030134,1085.70263671875,958.9675903320312,0.1212089568866057,43.80339214564656
223,1006.6261596679688,1084.382568359375,945.0950927734375,0.13321405644673587,46.97476624745528
224,1006.7615007672991,1083.64501953125,944.56005859375,0.13302037214242382,46.58471541958286
225,1002.8372017996652,1083.18505859375,943.6475830078125,0.13345315557586854,45.98074925436129
226,999.9089878627232,1081.1075439453125,942.8750610351562,0.13220506512665336,50.174231854702604
227,999.7418561662946,1079.8525390625,942.402587890625,0.13145665449808652,51.26684356656285
228,1001.7697143554688,1087.360107421875,941.6275634765625,0.13937809737444393,52.6450123085975
229,1002.3311505998884,1088.0626220703125,942.362548828125,0.13934704250708585,52.76873049026048
230,1003.5797380719866,1094.8751220703125,942.330078125,0.14589354864330883,54.21937818890306
231,1006.9254411969866,1095.0225830078125,945.465087890625,0.14303626735112493,50.128897800236004
232,1009.9139927455357,1095.9625244140625,947.3750610351562,0.14210853237570858,50.63302223750954
233,1007.060076032366,1105.6575927734375,944.237548828125,0.15438156772751818,57.26938037043578
234,1010.0964878627232,1106.68505859375,949.6500854492188,0.15018770128891082,53.923395228207355
235,1011.3943743024554,1106.91259765625,953.0850830078125,0.14712009915633018,52.41464894050082
236,1012.2379324776786,1105.8150634765625,955.6800537109375,0.14358860034913595,51.55501293859564
237,1011.3704310825893,1104.6351318359375,958.0750732421875,0.14016952950158762,50.48322451351412
238,1010.4307861328125,1102.2850341796875,962.340087890625,0.13384285913692556,50.42632858141017
239,1008.03076171875,1099.0250244140625,949.0850830078125,0.14340203764974435,51.81899423635574
240,1005.3264857700893,1107.28759765625,945.37255859375,0.15485497933329598,57.690923845501594
241,1013.3154296875,1114.882568359375,965.777587890625,0.1426034839176802,51.77831775902006
242,1012.7664969308036,1115.62255859375,954.257568359375,0.15432891455015546,53.17079818091031
243,1015.3111397879464,1113.955078125,955.7350463867188,0.15132108719985798,50.42383765118629
244,1007.8786533900669,1111.902587890625,939.4925537109375,0.16489235610438008,53.95863407273694
245,1015.1290021623884,1108.7125244140625,976.2750854492188,0.12666270528421456,45.32368011976829
246,1012.2900652204241,1106.027587890625,960.2500610351562,0.13942111887302075,46.74782267546359
247,1011.6647251674107,1103.0225830078125,975.9575805664062,0.12152452570791701,44.542706517037345
248,1008.9854300362723,1099.7725830078125,959.392578125,0.13425894766047478,45.70839286222979
249,1012.5982840401786,1096.0001220703125,977.6350708007812,0.11320392271314918,40.39950759082979
250,1012.9218488420759,1092.7950439453125,976.8950805664062,0.11084632124161359,39.30325590184981
251,1010.850080217634,1087.9700927734375,979.9100952148438,0.10334820524134751,38.39844744283307
252,1010.4186401367188,1084.8026123046875,982.3225708007812,0.09801155470825038,37.13937698281373
253,1011.6475742885044,1079.7301025390625,980.9825439453125,0.09444182105496683,36.241759942339975
254,1010.7618756975446,1076.0650634765625,978.2100830078125,0.09358816244548539,35.65775187203234
255,1009.9179251534598,1071.6976318359375,977.9625854492188,0.08964787184109488,34.45832562706056
256,1009.0261492047991,1067.52001953125,976.7450561523438,0.0868168587637815,33.525200191705814
257,1008.4839913504464,1063.455078125,976.0625610351562,0.08358189891557016,32.482706955922495
258,1005.8183070591518,1059.192626953125,975.0950927734375,0.08043058873826876,33.158755575149755
259,1005.2657906668527,1055.547607421875,975.87255859375,0.07620093915362665,31.830842233173318
260,1006.3229282924107,1063.1500244140625,975.5550537109375,0.08377552484607138,34.094041581077406
261,1006.9225812639509,1062.7451171875,975.5550537109375,0.08338827298506894,32.79183006948724
262,1006.7129255022321,1060.7926025390625,975.8550415039062,0.08123398749663126,31.922042963752144
263,1006.4189889090402,1059.70751953125,976.9775390625,0.07912266513295961,31.769970740995397
264,1006.8050624302456,1057.83251953125,977.767578125,0.07657383105716654,31.136926542378234
265,1004.984357561384,1055.9500732421875,966.9525756835938,0.08511689664498236,32.75585127208848
266,1004.4679216657366,1054.2125244140625,964.6350708007812,0.08567156459542634,32.78204850097044
267,1004.7593558175223,1060.2850341796875,965.7275390625,0.09043445894194023,34.73819455496104
268,1004.7579084123884,1060.092529296875,965.1600952148438,0.09079304926182839,35.049102402021724
