sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,9.838334004084269,18.200000762939453,3.455000162124634,1.774546256240877,5.8722170100786
2,8.073889546924168,16.41750144958496,3.442500352859497,1.5615285644439432,4.335251433400953
3,8.134445004993015,15.48750114440918,3.9150002002716064,1.3927390565605344,3.832168545175139
4,8.163056161668566,14.61500072479248,4.272500514984131,1.2447096832584514,3.3924097809980434
5,8.162222703297934,13.780000686645508,4.475000381469727,1.119847594645566,3.039948816788997
6,8.166111681196424,13.030000686645508,4.705000400543213,1.0019055604576026,2.7436316806138077
7,8.177778349982368,12.395000457763672,4.9800004959106445,0.8923879203914987,2.489832004066308
8,8.186667177412245,11.847500801086426,5.215000152587891,0.7982149010328194,2.2694177890073504
9,8.19388935301039,11.370000839233398,5.46750020980835,0.710360119878654,2.0606076022021886
10,8.199167304568821,10.955000877380371,5.707500457763672,0.6315314916798755,1.8659923081895513
11,8.203333960639107,10.592500686645508,5.950000286102295,0.5587203370426091,1.6728387195576033
12,8.210833867390951,10.262500762939453,6.187500476837158,0.4904222588830362,1.4847864489822633
13,8.209444946712917,9.947500228881836,6.4150004386901855,0.42513286011733836,1.2935626567728518
14,8.207778400844997,9.692501068115234,6.637500286102295,0.3676663261874965,1.1514967946781671
15,8.213056087493896,9.46250057220459,6.850000381469727,0.31441181715794164,1.0074076865817265
16,8.211389435662163,9.252500534057617,7.0450005531311035,0.26567044199296125,0.8916664397166734
17,8.208333863152397,9.15000057220459,7.187500476837158,0.2361849477926906,0.794010783231199
18,8.206667264302572,9.075000762939453,7.262500286102295,0.21813264188191656,0.7086321375247738
19,8.205000612470839,8.987500190734863,7.332500457763672,0.19917758294708954,0.6374767314928484
20,8.205278396606445,8.912500381469727,7.385000705718994,0.18383307701342683,0.5813648997411854
21,8.203611744774712,8.83750057220459,7.430000305175781,0.16939126671693616,0.5323477334457335
22,8.199444982740614,8.767500877380371,7.430000305175781,0.16096687259507653,0.500468262203664
23,8.199167304568821,8.745000839233398,7.435000419616699,0.15765725639755684,0.47057321167694127
24,8.192222913106283,8.767500877380371,7.445000648498535,0.15916159609449435,0.4518926276788935
25,8.19416724310981,8.780000686645508,7.46250057220459,0.15855983726096698,0.4389423378159882
26,8.196111626095242,8.780000686645508,7.4850006103515625,0.15585197989697466,0.4256669163833345
27,8.193333943684896,8.785000801086426,7.510000705718994,0.15344500194974606,0.41887305391766133
28,8.191667238871256,8.780000686645508,7.5425004959106445,0.14893192547205256,0.4115500504009485
29,8.190833886464437,8.787500381469727,7.565000534057617,0.1471266489714704,0.4089677824282528
30,8.19250069724189,8.772500991821289,7.595000743865967,0.14171099163036674,0.4039435760399678
31,8.191389401753744,8.762500762939453,7.627500534057617,0.13659615631914584,0.39874629534844047
32,8.190555996365017,8.752500534057617,7.652500629425049,0.13238390187133509,0.3969507530735992
33,8.186945067511665,8.735000610351562,7.680000305175781,0.12696824453023142,0.3913674538582597
34,8.18722285164727,8.730000495910645,7.700000762939453,0.1239594503625945,0.3899428210803278
35,8.186944961547852,8.717500686645508,7.7300004959106445,0.11884467243825454,0.3854943638919292
36,8.186111609141031,8.710000991821289,7.7325005531311035,0.11764121215808071,0.38340408220172806
37,8.185278415679932,8.695000648498535,7.780000686645508,0.11011934151275027,0.3774450596843484
38,8.188056098090279,8.6850004196167,7.8025007247924805,0.10620796648170319,0.37359687644326456
39,8.186389499240452,8.675000190734863,7.827500343322754,0.10199576942077337,0.36848538323885077
40,8.185556093851725,8.657500267028809,7.845000743865967,0.09778351497296262,0.36140299107355855
41,8.186667283376059,8.660000801086426,7.8550004959106445,0.09688099149643341,0.357615919493289
42,8.18166716893514,8.65250015258789,7.840000629425049,0.09778351497296262,0.3540876976199391
43,8.18222294913398,8.647500991821289,7.840000629425049,0.0971818709131971,0.3491340067121507
44,8.182222896152073,8.642500877380371,7.83750057220459,0.09688099149643341,0.34456822512314766
45,8.18055608537462,8.637500762939453,7.835000514984131,0.09658011207966972,0.33870335226659626
46,8.181667221917046,8.627500534057617,7.835000514984131,0.09537659441261495,0.33515389943284235
47,8.180278407202827,8.625000953674316,7.83750057220459,0.0947748929659685,0.32946803129520424
48,8.18194505903456,8.607501029968262,7.835000514984131,0.09296967385226729,0.3190092349512852
49,8.182222684224447,8.605000495910645,7.835000514984131,0.09266873704862265,0.31331749263508335
50,8.1802781952752,8.59000015258789,7.832500457763672,0.09116433996480419,0.30401580487942637
51,8.178889433542887,8.580000877380371,7.83750057220459,0.08935917823798391,0.2972691717506265
52,8.18166716893514,8.575000762939453,7.835000514984131,0.08905829882122021,0.2929644254238996
53,8.178611808353,8.567501068115234,7.840000629425049,0.0875539591242827,0.28718760674799926
54,8.175556129879421,8.555000305175781,7.840000629425049,0.08604950465358328,0.280476079620223
55,8.178889327579075,8.55250072479248,7.840000629425049,0.08574868262370053,0.2785204126138438
