sequence,mean,max,min,error,std
0,0.0,0.0,0.0,0.0,0.0
1,7.47071487562997,14.595001220703125,2.7375001907348633,1.475600128173828,4.044755337776579
2,7.804643426622663,14.155000686645508,3.5475001335144043,1.3200445132785372,3.641295669395815
3,7.850714956011091,13.39000129699707,4.345000267028809,1.125600128173828,3.1026973710423205
4,7.906429086412702,12.745000839233398,4.990000247955322,0.9650667402479383,2.7026932489372135
5,7.928214822496686,12.167500495910645,5.515000343322754,0.8278666856553819,2.3545655665142995
6,7.9310720307486395,11.620000839233398,5.947500228881836,0.7059111870659721,2.0210807117472434
7,7.933929170880999,11.135001182556152,6.317500591278076,0.5995111846923827,1.7167855305416586
8,7.944286346435547,10.705000877380371,6.530000686645508,0.5195555792914496,1.46021465557476
9,7.933214732578823,10.30250072479248,6.705000400543213,0.44768892923990883,1.2301684014183736
10,7.931786400931222,9.942501068115234,6.8625006675720215,0.38328893873426645,1.0315592210489826
11,7.930357728685651,9.620000839233398,6.997500419616699,0.32635560777452255,0.8618107808443548
12,7.933214868818011,9.330000877380371,7.122500419616699,0.27471116807725693,0.7207776900339824
13,7.930357728685651,9.067501068115234,7.2275004386901855,0.22897785610622828,0.6072470862993323
14,7.923214844294956,8.84000015258789,7.312500476837158,0.1900888485378689,0.5320042173308261
15,7.931071894509452,8.632500648498535,7.345000743865967,0.16022221035427517,0.4708410849956551
16,7.923929010118757,8.457500457763672,7.315000534057617,0.14217776828342013,0.44588125222875774
17,7.924643448420933,8.537500381469727,7.310000419616699,0.15275555080837672,0.4252191771224602
18,7.931071962629046,8.627500534057617,7.2950005531311035,0.1658222198486328,0.43281498062819657
19,7.9260720525469095,8.692501068115234,7.27500057220459,0.17640006171332465,0.45111186857674906
20,7.91928631918771,8.735000610351562,7.270000457763672,0.18231113009982639,0.4681139632951762
21,7.920714855194092,8.767500877380371,7.287500381469727,0.18417783949110242,0.48327601663205116
22,7.920357704162598,8.800000190734863,7.30750036239624,0.18573331197102863,0.501076751304714
23,7.920357636043003,8.8100004196167,7.327500343322754,0.1844888983832465,0.5127609102668302
24,7.918929100036621,8.822500228881836,7.347500324249268,0.18355554368760849,0.5257076080818278
25,7.919643402099609,8.830000877380371,7.367500305175781,0.18200007120768227,0.5375861846712654
26,7.918571949005127,8.832500457763672,7.382500648498535,0.18044442070855032,0.549230210346277
27,7.919643333980015,8.827500343322754,7.397500514984131,0.17795553419325086,0.5544431947184587
28,7.92142915725708,8.820000648498535,7.382500648498535,0.17888888888888888,0.5571315237419319
29,7.924286365509033,8.817501068115234,7.3550004959106445,0.18200007120768227,0.5603678557090089
30,7.920357704162598,8.790000915527344,7.327500343322754,0.18200007120768227,0.5569045042432784
31,7.918214797973633,8.770000457763672,7.315000534057617,0.18106665717230902,0.5528406646026619
32,7.9139290537152975,8.752500534057617,7.277500629425049,0.18355554368760849,0.5515997174133006
33,7.911429268973214,8.727500915527344,7.260000705718994,0.1826222483317057,0.5445371114763989
34,7.909286226545062,8.695000648498535,7.267500400543213,0.17764447530110675,0.5300426711378954
35,7.912857736860003,8.667500495910645,7.285000324249268,0.17204446580674912,0.5167113315171702
36,7.91928631918771,8.642500877380371,7.3025007247924805,0.1667555745442708,0.5021117640942727
37,7.910357679639544,8.612500190734863,7.2925004959106445,0.16426662868923608,0.4951923180365285
38,7.908571924482073,8.58750057220459,7.287500381469727,0.16177780151367185,0.4886224246771617
39,7.903929029192243,8.5600004196167,7.280000686645508,0.15928885565863712,0.4792981334970111
40,7.903214795248849,8.532500267028809,7.277500629425049,0.156177732679579,0.46938276138746177
41,7.905714784349714,8.510000228881836,7.27500057220459,0.1536888461642795,0.45946226244548216
42,7.908929211752755,8.495000839233398,7.280000686645508,0.15120001898871527,0.45011764827195455
43,7.911786351885114,8.482501029968262,7.2925004959106445,0.14808895534939234,0.43873585194941267
44,7.924286229269845,8.480000495910645,7.367500305175781,0.13844446818033854,0.41539321038353283
45,7.931072098868234,8.49000072479248,7.37000036239624,0.13937782287597655,0.4116150321059157
46,7.9335720879690985,8.460000991821289,7.375000476837158,0.13502228630913626,0.3977408016170771
47,7.932500634874616,8.437500953674316,7.380000591278076,0.13160004509819878,0.38699164748402104
48,7.932143483843122,8.415000915527344,7.382500648498535,0.12848892211914062,0.3781299229992115
49,7.916071959904262,8.395000457763672,7.392500400543213,0.12475556267632378,0.37076742809286856
50,7.91607209614345,8.377500534057617,7.40000057220459,0.12164443969726561,0.3584278820763867
51,7.914643355778286,8.360000610351562,7.405000686645508,0.1188444349500868,0.34584258318850514
52,7.917857783181327,8.347500801086426,7.4175004959106445,0.11573337131076387,0.33377094046287864
53,7.917857715061733,8.332500457763672,7.4275007247924805,0.11262218899197048,0.3214432938045556
54,7.918214729854038,8.322500228881836,7.437500476837158,0.110133302476671,0.3119885486587933
