,sequence,time,relative_time,frame_id,weight,mass,x,y
1,0,1603924076.5879776,2.7560176849365234,A,0.0,0.0,5.800000086426735,8.350000124424696
6,0,1603924081.294728,7.462768077850342,D,0.0,0.0,8.550000127404928,7.250000108033419
0,0,1603924073.83196,0.0,G,0.0,0.0,6.900000102818012,5.750000085681677
3,0,1603924077.9272022,4.095242261886597,H,0.0,0.0,7.850000116974115,6.400000095367432
4,0,1603924078.5978568,4.765896797180176,I,0.0,0.0,4.550000067800283,3.7500000558793545
5,0,1603924079.5060902,5.674130201339722,J,0.0,0.0,6.900000102818012,2.550000037997961
2,0,1603924077.3042336,3.472273588180542,K,0.0,0.0,3.6500000543892384,3.8500000573694706
11,1,1603924088.8305502,14.998590230941772,A,0.0,16.560001373291016,5.371607115067329,8.340768542161413
17,1,1603924089.212581,15.380620956420898,D,-0.20097778737545013,11.305001258850098,8.721063818587332,7.418083923010442
9,1,1603924088.8353677,15.003407716751099,G,0.0,6.505000591278076,6.7105304612552565,5.612980483332478
8,1,1603924088.7521505,14.920190572738647,H,0.0,17.625001907348633,7.140996560309851,6.617000098601005
7,1,1603924088.722918,14.890958070755005,I,0.0,20.4325008392334,4.322237920762653,4.600330424600651
12,1,1603924088.991994,15.160033941268921,J,-0.15631110966205597,8.792500495910645,7.2934177942078255,2.9811914006927474
10,1,1603924088.8583174,15.026357412338257,K,0.0,11.1850004196167,3.463259997963325,4.879285946645354
15,2,1603924089.1749368,15.342976808547974,A,-0.24071110785007477,13.540000915527344,5.094186163583835,8.44707838946135
25,2,1603924089.5530305,15.721070528030396,D,-0.3850666582584381,10.355000495910645,8.802951096688368,7.619218263132121
13,2,1603924089.1118803,15.27992033958435,G,-0.11604444682598114,6.527500629425049,6.833807986406812,5.385798974087972
14,2,1603924089.1727614,15.340801477432251,H,-0.059244442731142044,3.3325002193450928,7.101143494055946,6.748691398387865
16,2,1603924089.1799014,15.347941398620605,I,-0.10893333703279495,6.127500534057617,4.470798717360436,4.390546720397635
20,2,1603924089.4167545,15.584794521331787,J,-0.29866665601730347,8.007500648498535,7.599815418701016,3.1768742143905073
18,2,1603924089.219107,15.387146949768066,K,-0.1132444441318512,6.37000036239624,3.316686929979184,5.052820013831907
22,3,1603924089.5098653,15.677905321121216,A,-0.46808889508247375,12.790000915527344,4.88306848798455,8.505209508728043
31,3,1603924089.885546,16.05358600616455,D,-0.5587555170059204,9.770000457763672,8.837804938913287,7.796514257505823
19,3,1603924089.415141,15.583181142807007,G,-0.2133333384990692,5.472500324249268,6.92775374857991,5.2413805665908715
21,3,1603924089.507864,15.675904035568237,H,-0.14426666498184204,4.782500267028809,7.006883873805457,6.896875809185059
23,3,1603924089.5137625,15.68180251121521,I,-0.23382222652435303,7.02500057220459,4.520372702337502,4.1639922507449585
27,3,1603924089.7500098,15.918049812316895,J,-0.43773332238197327,7.822500705718994,7.865543755871201,3.310832466833431
24,3,1603924089.5526078,15.720647811889648,K,-0.2246222198009491,6.265000343322754,3.288411326470234,5.2633314363664425
28,4,1603924089.8375642,16.00560426712036,A,-0.6724444627761841,11.495000839233398,4.7250923467454715,8.569090247131811
39,4,1603924090.2180922,16.38613224029541,D,-0.7247999906539917,9.340001106262207,8.85013915218958,7.937476942689321
